barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads
barcode01,Pf3D7_11_v3,1294074,826,1294900,6579.63196125908,ama1-p74-384,97.6997578692494,5434776,807,12679
barcode01,Pf3D7_13_v3,1724567,1286,1725853,4024.802488335925,kelch13-p383-727,98.4447900466563,5175896,1266,8247
barcode02,Pf3D7_11_v3,1294074,826,1294900,2617.1186440677966,ama1-p74-384,97.57869249394672,2161740,806,4886
barcode02,Pf3D7_13_v3,1724567,1286,1725853,3304.101088646967,kelch13-p383-727,98.4447900466563,4249074,1266,6267
barcode03,Pf3D7_11_v3,1294074,826,1294900,2350.5205811138017,ama1-p74-384,97.57869249394672,1941530,806,4465
barcode03,Pf3D7_13_v3,1724567,1286,1725853,4098.814930015552,kelch13-p383-727,98.4447900466563,5271076,1266,8220
barcode04,Pf3D7_11_v3,1294074,826,1294900,1.645278450363196,ama1-p74-384,0.0,1359,0,3
barcode04,Pf3D7_13_v3,1724567,1286,1725853,0.5248833592534993,kelch13-p383-727,0.0,675,0,1
barcode05,Pf3D7_11_v3,1294074,826,1294900,0.473365617433414,ama1-p74-384,0.0,391,0,1
barcode05,Pf3D7_13_v3,1724567,1286,1725853,1.1944012441679628,kelch13-p383-727,0.0,1536,0,2
barcode06,Pf3D7_11_v3,1294074,826,1294900,2887.251815980629,ama1-p74-384,97.57869249394672,2384870,806,5656
barcode06,Pf3D7_13_v3,1724567,1286,1725853,2139.50233281493,kelch13-p383-727,98.28926905132192,2751400,1264,4366
barcode07,Pf3D7_11_v3,1294074,826,1294900,2739.9794188861983,ama1-p74-384,97.57869249394672,2263223,806,5369
barcode07,Pf3D7_13_v3,1724567,1286,1725853,2620.1555209953344,kelch13-p383-727,98.28926905132192,3369520,1264,5048
barcode08,Pf3D7_11_v3,1294074,826,1294900,3711.4176755447934,ama1-p74-384,97.57869249394672,3065631,806,7520
barcode08,Pf3D7_13_v3,1724567,1286,1725853,737.2223950233282,kelch13-p383-727,98.13374805598755,948068,1262,1678
barcode09,Pf3D7_11_v3,1294074,826,1294900,7340.0,ama1-p74-384,97.6997578692494,6062840,807,15041
barcode09,Pf3D7_13_v3,1724567,1286,1725853,2903.063763608087,kelch13-p383-727,98.28926905132192,3733340,1264,6255
barcode10,Pf3D7_11_v3,1294074,826,1294900,1666.808716707022,ama1-p74-384,97.45762711864408,1376784,805,3376
